Item,Qty.,Price (INR),Ext. (INR),Link
WS2812B SMD2020 (Neopixel),16,7.65,122.4,https://quartzcomponents.com/products/ws2812b-smd2020-addressable-rgb-pixel-led-smd-package?variant=45110136668394
1000nF 50V 0805 X7R SMD Capacitor (Pack of 5 Pieces),4,13.5,60,https://quartzcomponents.com/products/1uf-1000nf-50v-0805-x7r-smd-capacitor-pack-of-5-pieces?variant=43526976504042
470Ω 5% SMD Resistor 0805 ( Pack of 20 Pieces ),1,8,8,https://quartzcomponents.com/products/470ohm-470e-5-smd-resistor-0805-pack-of-20-pieces?variant=43515854749930
TLJA107M006R0800 100uF 6.3V CASE-A-3216-18(mm) Tantalum Capacitors ROHS (for 2mm small size),1,25,25,https://robu.in/product/tlja107m006r0800-kyocera-avx-100uf-6-3v-800m%cf%89100khz-%c2%b120-case-a-3216-18mm-tantalum-capacitors-rohs/
"UUD0J101MCL1GS 100uF 6.3V SMD,D6.3xL5.8mm Aluminum Electrolytic Capacitors - SMD ROHS (for 5mm large size) ",1,31,31,https://robu.in/product/uud0j101mcl1gs-nichicon-100uf-6-3v-115ma120hz-%c2%b120-smdd6-3xl5-8mm-aluminum-electrolytic-capacitors-smd-rohs/
PCB Fabrication,5,159.8,943(799 +18% tax),https://www.lioncircuits.com/
4-pin Header (optional),1,2,2,https://robu.in/product/hb-ph3-25414pb2gop-hanbo-gold-250v-3a-direct-insert-2-54mm-4p-6mm-40%e2%84%83105%e2%84%83-3mm-2-54mm-brass-black-single-row-1x4p-2-54mm-pluginp2-54mm-pin-headers-rohs/
